entityid,codiincident,descripcioincident,codidistricte,nomdistricte,nkany,mesdeany,nommes,numerodincidentsgub
000c7919-8414-4d80-937d-a6c51063f2f9,201,INCIDÈNCIES AMB PERILL PEL TRÀNSIT,6,Gràcia,2015,3,Març,23
0028c36d-d283-43dd-8dbe-1832c46f599a,100,ÀMBIT DE PROTECCIÓ DEL MENOR,5,Sarrià-Sant Gervasi,2015,10,Octubre,9
002e47ca-c20e-457b-b168-3821b6654fd5,640,INFRACCIONS D ESTRANGERS,9,Sant Andreu,2015,5,Maig,2
0035c491-6b55-4197-ad5c-5a6b38215609,222,INFRACCIONS EN MOVIMENT,7,Horta-Guinardó,2015,4,Abril,58
003acacb-3e88-4c93-8318-b987591ee107,222,INFRACCIONS EN MOVIMENT,3,Sants-Montjuïc,2015,12,Desembre,137
00404886-c05e-4f1a-b6d1-3a16229ebf1c,500,MANIFESTACIONS / CONCENTRACIONS,2,Eixample,2015,9,Setembre,40
00499052-6fd2-42de-bc2f-a4147cb82eef,680,ALTRES ACTUACIONS DE S  C ,10,Sant Martí,2015,11,Novembre,156
004d3b34-48ca-4cca-9c77-d18b8dea8fda,450,OBRES / TREBALLS EN ESPAIS PÚBLICS,9,Sant Andreu,2015,3,Març,8
00500baa-80fd-4f9f-be33-324ccfd875cd,680,ALTRES ACTUACIONS DE S  C ,3,Sants-Montjuïc,2015,9,Setembre,114
0053b0e1-eea6-46ca-993a-0f87d3554e2f,510,BARALLES,6,Gràcia,2015,9,Setembre,9
005a6cac-1476-45af-bed5-01a4d9bd6963,610,ACTES CONTRA LA PROPIETAT PRIVADA,3,Sants-Montjuïc,2015,8,Agost,112
0065745a-e17a-4004-a5a9-7e9117c1f62b,202,RESTRICCIONS TEMPORALS DE TRÀNSIT,8,Nou Barris,2015,10,Octubre,20
00677a49-86f3-42c0-9c93-2b09b4fc3b23,442,ALTRES INCIDÈNCIES AMB ANIMALS,6,Gràcia,2015,11,Novembre,2
0069253f-afb7-4717-aa76-a4f6ff9ef399,223,INFRACCIONS EN MOVIMENT (VEHICLES),2,Eixample,2015,2,Febrer,4
006a5da1-cbbf-4258-82fb-9693317f555d,421,INFRACCIONS EN LOCALS,9,Sant Andreu,2015,7,Juliol,2
006ae415-1e8a-4494-8d12-c73ce2105e8d,50,ATEMPTATS,3,Sants-Montjuïc,2015,10,Octubre,3
007f0c51-11d0-407e-a1d1-2809eed60f79,50,ATEMPTATS,6,Gràcia,2015,9,Setembre,2
008e70b8-bbbd-4719-9786-ae466583e320,20,PLUJA TORRENCIAL,3,Sants-Montjuïc,2015,10,Octubre,3
009200b5-34dd-49b6-b3fa-3c0bd2b0f47d,800,FOGUERES / BARBACOES,7,Horta-Guinardó,2015,3,Març,1
009d73cf-2eed-481a-a7d8-725680673c79,240,CONTROLS DE TRÀNSIT,5,Sarrià-Sant Gervasi,2015,8,Agost,19
00a1d934-1029-448b-8de9-2646cc7d0af4,61,AVARIES DE SERVEIS PÚBLICS,7,Horta-Guinardó,2015,12,Desembre,20
00ae3ca8-2450-416f-9420-843ca5e97953,200,INCIDÈNCIES AMB AFECTACIÓ DE VIA,8,Nou Barris,2015,5,Maig,43
00b20b76-6b1f-481e-90dc-4b5f1eff22d3,500,MANIFESTACIONS / CONCENTRACIONS,3,Sants-Montjuïc,2015,7,Juliol,5
00b58aa4-1043-4580-a06e-4adab6200fa7,510,BARALLES,1,Ciutat Vella,2015,11,Novembre,39
00bb3213-7c47-4911-9f0d-b1c7635a3d93,230,TRASLLATS DE VEHICLES SENSE INFRACCIÓ,3,Sants-Montjuïc,2015,1,Gener,21
00bc2974-02c3-44f5-b4e9-722d1572c6ba,400,CONVIVÈNCIA VEINAL,4,Les Corts,2015,5,Maig,90
00c8b819-663e-41f8-b437-e30790eb1bcf,620,ESTUPEFAENTS / PSICOTROPICS,8,Nou Barris,2015,9,Setembre,13
00c984f9-99bf-4511-ada9-99b9a6fb9526,210,ACCIDENTS DE TRÀNSIT SENSE FERITS,6,Gràcia,2015,12,Desembre,43
00c9c512-328a-48ae-a349-12cadec79a71,10,EXPLOSIONS,4,Les Corts,2015,8,Agost,1
00d8f466-c1dc-476f-9e28-2d497d94dc4c,400,CONVIVÈNCIA VEINAL,4,Les Corts,2015,6,Juny,119
00dc25f0-d1c7-46b8-9eca-253775fac08c,220,INFRACCIONS EN GUALS I RESERVES,1,Ciutat Vella,2015,9,Setembre,215
00f2bd56-eae4-4975-91c5-e00f2b4cbd6d,422,INSPECCIONS / CONTROLS EN LOCALS,5,Sarrià-Sant Gervasi,2015,9,Setembre,8
00f7e918-1407-48c0-b624-9c5f316905d7,211,ACCIDENTS DE TRÀNSIT AMB FERITS,8,Nou Barris,2015,8,Agost,32
0102c3eb-d909-417d-866c-67893759b8bf,240,CONTROLS DE TRÀNSIT,6,Gràcia,2015,8,Agost,25
