CODI_INCIDENT;DESCRIPCIO_INCIDENT;CODI_DISTRICTE;NOM_DISTRICTE;ANY;MES;NOM_MES;NOMBRE_INCIDENTS
400;CONVIVÈNCIA VEINAL;10;Sant Martí;2013;3;Març;279
420;INCIDÈNCIES DE LOCALS;10;Sant Martí;2013;3;Març;58
422;INSPECCIONS / CONTROLS EN LOCALS;3;Sants-Montjuïc;2013;3;Març;28
450;OBRES / TREBALLS EN ESPAIS PÚBLICS;9;Sant Andreu;2013;3;Març;8
100;ÀMBIT DE PROTECCIÓ DEL MENOR;3;Sants-Montjuïc;2013;2;Febrer;6
400;CONVIVÈNCIA VEINAL;7;Horta-Guinardó;2013;2;Febrer;158
500;MANIFESTACIONS / CONCENTRACIONS;6;Gràcia;2013;2;Febrer;14
670;AGRESSIONS;3;Sants-Montjuïc;2013;2;Febrer;15
201;INCIDÈNCIES AMB PERILL PEL TRÀNSIT;7;Horta-Guinardó;2013;2;Febrer;22
660;VIOLÈNCIA DOMÈSTICA;10;Sant Martí;2013;2;Febrer;10
421;INFRACCIONS EN LOCALS;10;Sant Martí;2013;2;Febrer;2
680;ALTRES ACTUACIONS DE S, C,;1;Ciutat Vella;2013;5;Maig;166
400;CONVIVÈNCIA VEINAL;10;Sant Martí;2013;1;Gener;279
422;INSPECCIONS / CONTROLS EN LOCALS;3;Sants-Montjuïc;2013;1;Gener;26
400;CONVIVÈNCIA VEINAL;6;Gràcia;2013;1;Gener;134
21M;ACCIDENT PROCEDENT PASSAREL·LA CME;4;Les Corts;2013;5;Maig;1
600;COL·LBORACIÓ AMB AUTORITAT JUDICIAL / POLICIAL;8;Nou Barris;2013;6;Juny;9
611;ACTES CONTRA LA PROPIETAT PÚBLICA;2;Eixample;2013;5;Maig;3
620;ESTUPEFAENTS / PSICOTROPICS;8;Nou Barris;2013;1;Gener;13
305;COL·LABORACIÓ AMB ALTRES SERVEIS;3;Sants-Montjuïc;2013;1;Gener;28
422;INSPECCIONS / CONTROLS EN LOCALS;8;Nou Barris;2013;1;Gener;19
240;CONTROLS DE TRÀNSIT;9;Sant Andreu;2013;1;Gener;106
451;OCUPACIONS D ESPAIS PÚBLICS;9;Sant Andreu;2013;1;Gener;2
21B;ACCIDENT REBUT PEL 080 (Recodificar);4;Les Corts;2013;3;Març;2
100;ÀMBIT DE PROTECCIÓ DEL MENOR;5;Sarrià-Sant Gervasi;2013;4;Abril;6
600;COL·LBORACIÓ AMB AUTORITAT JUDICIAL / POLICIAL;6;Gràcia;2013;4;Abril;5
000;INCENDIS;6;Gràcia;2013;4;Abril;21
810;ABOCAMENT DE RESIDUS;3;Sants-Montjuïc;2013;4;Abril;3
670;AGRESSIONS;7;Horta-Guinardó;2013;4;Abril;8
203;SENYALS AUTOMATITZADES;4;Les Corts;2013;4;Abril;27
600;COL·LBORACIÓ AMB AUTORITAT JUDICIAL / POLICIAL;4;Les Corts;2013;2;Febrer;3
421;INFRACCIONS EN LOCALS;3;Sants-Montjuïc;2013;4;Abril;6
030;MATÈRIES PERILLOSES;6;Gràcia;2013;1;Gener;3
100;ÀMBIT DE PROTECCIÓ DEL MENOR;7;Horta-Guinardó;2013;4;Abril;5
302;ASSISTÈNCIA A CONDUCTORS EN V, P,;4;Les Corts;2013;5;Maig;8
222;INFRACCIONS EN MOVIMENT;9;Sant Andreu;2013;6;Juny;66
513;CONFLICTES EN LOCALS;3;Sants-Montjuïc;2013;6;Juny;15
460;INCIDÈNCIES D ALIMENTS;2;Eixample;2013;4;Abril;3
660;VIOLÈNCIA DOMÈSTICA;2;Eixample;2013;4;Abril;3
242;IMMOBILITZACIONS /DESIMMOBILITZACIONS;4;Les Corts;2013;2;Febrer;4
450;OBRES / TREBALLS EN ESPAIS PÚBLICS;5;Sarrià-Sant Gervasi;2013;2;Febrer;4
611;ACTES CONTRA LA PROPIETAT PÚBLICA;8;Nou Barris;2013;2;Febrer;3
302;ASSISTÈNCIA A CONDUCTORS EN V, P,;3;Sants-Montjuïc;2013;6;Juny;9
441;ANIMALS / INSECTES PERILLOSOS;7;Horta-Guinardó;2013;5;Maig;2
611;ACTES CONTRA LA PROPIETAT PÚBLICA;8;Nou Barris;2013;5;Maig;3
023;COMUNICATS D EMERGÈNCIA;2;Eixample;2013;6;Juny;1
620;ESTUPEFAENTS / PSICOTROPICS;3;Sants-Montjuïc;2013;7;Juliol;15
470;ALTRES INTERVENCIONS DE P, ADMINISTRATIVA;6;Gràcia;2013;7;Juliol;67
670;AGRESSIONS;3;Sants-Montjuïc;2013;7;Juliol;26
220;INFRACCIONS EN GUALS I RESERVES;1;Ciutat Vella;2013;7;Juliol;283
301;ASSISTÈNCIA A PERSONES EN ESPAIS PÚBLICS;6;Gràcia;2013;7;Juliol;68
211;ACCIDENTS DE TRÀNSIT AMB FERITS;1;Ciutat Vella;2013;7;Juliol;78
440;ANIMALS DE COMPANYIA;7;Horta-Guinardó;2013;7;Juliol;13
203;SENYALS AUTOMATITZADES;10;Sant Martí;2013;7;Juliol;53
070;SINISTRES EN EDIFICIS;6;Gràcia;2013;7;Juliol;8
302;ASSISTÈNCIA A CONDUCTORS EN V, P,;9;Sant Andreu;2013;7;Juliol;5
530;DELICTES CONTRA L ORDRE PÚBLIC;1;Ciutat Vella;2013;7;Juliol;14
480;ALARMES D INCENDI / ROBATORI;10;Sant Martí;2013;7;Juliol;14
480;ALARMES D INCENDI / ROBATORI;1;Ciutat Vella;2013;7;Juliol;11
202;RESTRICCIONS TEMPORALS DE TRÀNSIT;8;Nou Barris;2013;7;Juliol;6
830;ALTRES ACTUACIONS EN MEDI AMBIENT;8;Nou Barris;2013;7;Juliol;3
