LatLon,carrerA,carrerB,lat,lon,trobat
"(41.35637,2.14179)",Av Zona Franca,Foc,41.35637,2.14179,True
"(41.36053,2.13867)",Av Zona Franca,Foneria,41.36053,2.13867,True
"(41.36436,2.13556)",Av Zona Franca,Ildefons Cerda,41.36436,2.13556,True
"(41.41467,2.16425)",Av Zona Franca,Mare de Deu de Montserrat,41.41467,2.16425,True
"(41.35103,2.14558)",Av Zona Franca,Motors,41.35103,2.14558,True
"(41.41634,2.20392)",Agricultura,Corts Catalanes,41.41634,2.20392,True
"(41.41267,2.20853)",Agricultura,Cristobal de Moura,41.41267,2.20853,True
"(41.41875,2.20046)",Agricultura,Guipuscoa,41.41875,2.20046,True
"(41.41966,2.19925)",Agricultura,Huelva,41.41966,2.19925,True
"(41.41098,2.2107899)",Agricultura,Pallars,41.41098,2.2107899,True
"(41.41426,2.20643)",Agricultura,Pere IV,41.41426,2.20643,True
"(41.42233,2.1961)",Agricultura,Pont del Treball Digne,41.42233,2.1961,True
"(41.4100899,2.2119399)",Agricultura,Pujades,41.4100899,2.2119399,True
"(41.44625,2.1794699)",Aiguablava,Favencia,41.44625,2.1794699,True
"(41.3813,2.10747)",Albert Bastardas,C-31,41.3813,2.10747,True
"(41.38293,2.10697)",Albert Bastardas,Diagonal,41.38293,2.10697,True
"(41.4009799,2.1467)",Alfons XII,Augusta,41.4009799,2.1467,True
"(41.3968599,2.15075)",Alfons XII,Gracia,41.3968599,2.15075,True
"(41.39878,2.14926)",Alfons XII,Laforja,41.39878,2.14926,True
"(41.39969,2.1482899)",Alfons XII,Madrazo,41.39969,2.1482899,True
"(41.39835,2.14979)",Alfons XII,Maria Cubi,41.39835,2.14979,True
"(41.4009799,2.1467)",Alfonso Comin,Augusta,41.4009799,2.1467,True
"(41.3968599,2.15075)",Alfonso Comin,Gracia,41.3968599,2.15075,True
"(41.39878,2.14926)",Alfonso Comin,Laforja,41.39878,2.14926,True
"(41.39969,2.1482899)",Alfonso Comin,Madrazo,41.39969,2.1482899,True
"(41.39835,2.14979)",Alfonso Comin,Maria Cubi,41.39835,2.14979,True
"(41.41557,2.13786)",Alfonso Comin,Vall d'Hebron,41.41557,2.13786,True
