;Número d'expedient;Codi districte;Nom districte;Codi barri;Nom barri;Codi carrer;Nom carrer;Num postal caption;Descripció dia setmana;Dia setmana;Descripció tipus dia;NK Any;Mes de any;Nom mes;Dia de mes;Hora de dia;Descripció torn;Descripció causa vianant;Número de morts;Número de lesionats lleus;Número de lesionats greus;Número de vehicles implicats;Coordenada UTM (Y);Coordenada UTM (X);Codi d'expedient;Descripció tipus de vehicle;Descripció model;Descripció marca;Descripció color;Descripció carnet;Antiguitat carnet;Desc. Tipus vehicle implicat;Descripció sexe;Descripció tipus persona;Edat;Descripció victimització;Descripció tipus accident
0;2015S005807;-1;Desconegut;-1;Desconegut;-1;Desconegut;Desconegut;Dimarts;Dm;Laboral;2015;7;Juliol;28;12;Matí;No és causa del  vianant;0;2;0;2;-1;-1;2015S005807;Motocicleta;X motion;TGB;Negre;B;23;Motocicleta;Home;Conductor;43;Ferit lleu;Abast
1;2015S005807;-1;Desconegut;-1;Desconegut;-1;Desconegut;Desconegut;Dimarts;Dm;Laboral;2015;7;Juliol;28;12;Matí;No és causa del  vianant;0;2;0;2;-1;-1;2015S005807;Motocicleta;X motion;TGB;Negre;B;23;Turismo;Home;Conductor;39;Ferit lleu;Abast
2;2015S005807;-1;Desconegut;-1;Desconegut;-1;Desconegut;Desconegut;Dimarts;Dm;Laboral;2015;7;Juliol;28;12;Matí;No és causa del  vianant;0;2;0;2;-1;-1;2015S005807;Turismo;GOLF;VOLKSWAGEN;Gris;B;21;Motocicleta;Home;Conductor;43;Ferit lleu;Abast
3;2015S005807;-1;Desconegut;-1;Desconegut;-1;Desconegut;Desconegut;Dimarts;Dm;Laboral;2015;7;Juliol;28;12;Matí;No és causa del  vianant;0;2;0;2;-1;-1;2015S005807;Turismo;GOLF;VOLKSWAGEN;Gris;B;21;Turismo;Home;Conductor;39;Ferit lleu;Abast
4;2015S004325;10;Sant Martí;64;el Camp de l'Arpa del Clot;226400;Las Navas de Tolosa;0343 0343;Divendres;Dv;Laboral;2015;6;Juny;5;9;Matí;No és causa del  vianant;0;1;0;2;4585565,44;431946,45;2015S004325;Turismo;LEON;SEAT;Negre;B;7;Turismo;Home;Conductor;32;Ferit lleu;Col.lisió lateral
5;2015S004325;10;Sant Martí;64;el Camp de l'Arpa del Clot;226400;Las Navas de Tolosa;0343 0343;Divendres;Dv;Laboral;2015;6;Juny;5;9;Matí;No és causa del  vianant;0;1;0;2;4585565,44;431946,45;2015S004325;Camión > 3,5 Tm;Desconegut;VOLVO;Blanc;C;8;Turismo;Home;Conductor;32;Ferit lleu;Col.lisió lateral
6;2015S002024;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Maragall;0001 0003;Dimarts;Dm;Laboral;2015;3;Març;17;12;Matí;Desobeir el senyal del semàfor;0;1;0;1;4585174,30;431648,74;2015S002024;Ciclomotor;CLASSIC 50;APRILIA;Negre;B;21;Ciclomotor;Dona;Vianant;68;Ferit lleu;Atropellament
7;2015S002656;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria;0223 0225;Divendres;Dv;Laboral;2015;4;Abril;10;9;Matí;No és causa del  vianant;0;1;0;2;4585028,70;431347,82;2015S002656;Motocicleta;LIBERTY 125;PIAGGIO;Negre;B;17;Motocicleta;Dona;Conductor;36;Ferit lleu;Col.lisió lateral
8;2015S002656;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria;0223 0225;Divendres;Dv;Laboral;2015;4;Abril;10;9;Matí;No és causa del  vianant;0;1;0;2;4585028,70;431347,82;2015S002656;Turismo;C4;CITROEN;Gris;B;4;Motocicleta;Dona;Conductor;36;Ferit lleu;Col.lisió lateral
9;2015S002056;10;Sant Martí;64;el Camp de l'Arpa del Clot;350308;València;0615 0615;Dimecres;Dc;Laboral;2015;3;Març;18;12;Matí;No és causa del  vianant;0;3;0;3;4584790,88;432069,78;2015S002056;Furgoneta;DOBLO;FIAT;Blanc;B;10;Taxi;Dona;Passatger;62;Ferit lleu;Abast multiple
