		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	ET 	Samp	Tx 	Recept	Int.
21/09/10	12:00	25.2	25.2	24.8	69	19.1	0.0	---	0.00	0.0	---	25.2	26.2	26.2	25.3	1018.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.569	26.0	65	18.9	26.9	11.77	1.1606	0.00	1657	1	60.6	120
21/09/10	14:00	24.6	25.2	24.6	70	18.8	0.0	---	0.00	0.0	---	24.6	25.6	25.6	24.8	1017.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.523	25.7	65	18.6	26.5	11.79	1.1620	0.00	2806	1	100.0	120
21/09/10	16:00	24.3	24.6	24.3	70	18.5	0.0	---	0.00	0.0	---	24.3	25.3	25.3	24.5	1018.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.500	25.6	65	18.5	26.3	11.79	1.1631	0.00	2808	1	100.0	120
21/09/10	18:00	24.2	24.4	24.2	71	18.6	0.0	---	0.00	0.0	---	24.2	25.3	25.3	24.4	1018.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.491	25.3	66	18.5	26.1	12.00	1.1647	0.00	2805	1	100.0	120
21/09/10	20:00	24.1	24.2	24.1	71	18.5	0.0	---	0.00	0.0	---	24.1	25.1	25.1	24.2	1019.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.481	25.1	66	18.3	25.9	12.01	1.1673	0.00	2806	1	100.0	120
21/09/10	22:00	24.0	24.2	24.0	71	18.4	0.0	---	0.00	0.0	---	24.0	25.0	25.0	24.1	1020.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.472	25.0	66	18.2	25.8	12.01	1.1682	0.00	2808	1	100.0	120
22/09/10	00:00	23.9	24.1	23.9	70	18.1	0.0	---	0.00	0.0	---	23.9	24.9	24.9	23.9	1020.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.468	24.9	66	18.1	25.7	12.01	1.1687	0.00	2807	1	100.0	120
22/09/10	2:00	23.8	23.9	23.8	70	18.0	0.0	---	0.00	0.0	---	23.8	24.7	24.7	23.7	1019.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.454	24.8	65	17.8	25.5	11.82	1.1694	0.00	2805	1	100.0	120
22/09/10	4:00	23.7	23.8	23.7	69	17.7	0.0	---	0.00	0.0	---	23.7	24.6	24.6	23.6	1019.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.449	24.6	65	17.6	25.3	11.82	1.1701	0.00	2809	1	100.0	120
22/09/10	6:00	23.6	23.7	23.6	69	17.5	0.0	---	0.00	0.0	---	23.6	24.4	24.4	23.4	1020.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.435	24.5	65	17.5	25.2	11.83	1.1714	0.00	2807	1	100.0	120
22/09/10	8:00	23.7	23.7	23.5	69	17.6	0.0	---	0.00	0.0	---	23.7	24.6	24.6	23.7	1020.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.444	24.8	64	17.5	25.4	11.62	1.1708	0.00	2801	1	100.0	120
22/09/10	10:00	28.4	28.4	27.0	59	19.6	0.0	---	0.00	0.0	---	28.4	29.8	29.8	---	1020.9	0.00	0.0	---	---	---	4.2	3.60	4.5	0.000	0.838	25.7	62	17.8	26.3	11.19	1.1670	0.00	275	1	10.1	120
22/09/10	12:00	26.8	29.1	26.8	61	18.6	0.0	---	0.00	0.0	---	26.8	27.6	27.6	27.7	1020.3	0.00	0.0	69	11.87	763	2.5	2.14	4.9	0.000	0.704	25.8	63	18.2	26.5	11.38	1.1653	0.00	1889	1	69.0	120
22/09/10	14:00	24.7	26.8	24.7	67	18.2	0.0	---	0.00	0.0	---	24.7	25.6	25.6	24.7	1019.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.532	25.9	62	18.0	26.6	11.18	1.1641	0.00	2807	1	100.0	120
