NumeroDexpedient,CodiDistricte,NomDistricte,NkBarri,NomBarri,CodiCarrer,NomCarrer,NumPostalCaption,DescripcioDiaSetmana,DiaDeSetmana,DescripcioTipusDia,NkAny,MesDeAny,NomMes,DiaDeMes,HoraDeDia,DescripcioTorn,DescripcioCausaVianant,NumeroDeMorts,NumeroDeLesionatsLleus,NumeroDeLesionatsGreus,NumeroDeVictimes,NumeroDeVehiclesImplicats,CoordenadaUtmy,CoordenadaUtmx,DataNumeric,Data,CoordUTM,Lat,Lon,LatLonStr,LatLon,Pluja,DescripciTipusDia,MonumentProper,DistMonumentProper,creuaments,DescripciTipusAccident,DescripcioCausaMediata
2011S000232,-1,Desconegut,-1--1--1,Desconegut,-1,Desconegut,Desconegut,Dijous,4,Laboral,2011,1,Gener,13,15,Tarda,Desconegut,0,1,0,1,2,-1,-1,20110113,13/01/2011,-1/-1,-1.0,-1.0,"-1.0, -1.0","(-1.0, -1.0)",False,Laboral,,2000.0,,Col.lisió lateral,No hi ha causa mediata
2011S000692,-1,Desconegut,-1--1--1,Desconegut,-1,Desconegut,Desconegut,Dimecres,3,Laboral,2011,2,Febrer,2,11,Matí,Desobeir el senyal del semàfor,0,1,0,1,1,-1,-1,20110202,02/02/2011,-1/-1,-1.0,-1.0,"-1.0, -1.0","(-1.0, -1.0)",False,Laboral,,2000.0,,Atropellament,No hi ha causa mediata
2011S007125,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,209900,Meridiana,0189 0189,Divendres,5,Laboral,2011,10,Octubre,21,16,Tarda,Desconegut,0,1,0,1,2,"4585070,71","432021,86",20111021,21/10/2011,"432021,86/4585070,71",41.4143140255,2.18660206856,"41.4143140255, 2.18660206856","(41.4143140255, 2.18660206856)",False,Laboral,,2000.0,"[(41.4139399, 2.18682)]",Abast,Excés de velocitat o inadequada
2011S007688,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,209900,Meridiana,0201 0201,Dilluns,1,Laboral,2011,11,Novembre,14,19,Tarda,Desconegut,0,1,0,1,2,"4585164,43","432022,53",20111114,14/11/2011,"432022,53/4585164,43",41.4151581881,2.18659955377,"41.4151581881, 2.18659955377","(41.4151581881, 2.18659955377)",True,Laboral,,2000.0,"[(41.4152, 2.18699)]",Abast,No hi ha causa mediata
2011S000334,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,161407,Indústria,0275 0277,Dimarts,2,Laboral,2011,1,Gener,18,12,Matí,Desconegut,0,1,0,1,2,"4585097,87","431520,25",20110118,18/01/2011,"431520,25/4585097,87",41.4145160603,2.18059752549,"41.4145160603, 2.18059752549","(41.4145160603, 2.18059752549)",False,Laboral,,2000.0,"[(41.41456, 2.18086)]",Col.lisió fronto-lateral,No hi ha causa mediata
2011S007926,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,194406,Maragall,0044 0046,Dijous,4,Laboral,2011,11,Novembre,24,9,Matí,Desconegut,0,1,0,1,2,"4585201,16","431537,33",20111124,24/11/2011,"431537,33/4585201,16",41.415447814,2.18079018891,"41.415447814, 2.18079018891","(41.415447814, 2.18079018891)",False,Laboral,,2000.0,"[(41.41536, 2.18065)]",Bolcada (més de dues rodes),No hi ha causa mediata
2011S001385,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,90502,Còrsega,0697 0699,Dilluns,1,Laboral,2011,2,Febrer,28,9,Matí,Desconegut,0,1,0,1,2,"4584871,61","431493,55",20110228,28/02/2011,"431493,55/4584871,61",41.4124759363,2.18030369506,"41.4124759363, 2.18030369506","(41.4124759363, 2.18030369506)",False,Laboral,,2000.0,[],Col.lisió lateral,No hi ha causa mediata
2011S002330,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,268003,Provença,0575 0575,Dilluns,1,Laboral,2011,4,Abril,4,21,Tarda,Desconegut,0,2,0,2,2,"4584593,09","431616,77",20110404,04/04/2011,"431616,77/4584593,09",41.4099778914,2.18180938548,"41.4099778914, 2.18180938548","(41.4099778914, 2.18180938548)",False,Laboral,,2000.0,[],Col.lisió fronto-lateral,No hi ha causa mediata
2011S000043,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,700018,Heroïnes de Girona,9999 9999,Dilluns,1,Laboral,2011,1,Gener,3,20,Tarda,Altres,0,1,0,1,1,"4584593,54","431423,24",20110103,03/01/2011,"431423,24/4584593,54",41.4099654559,2.17949401703,"41.4099654559, 2.17949401703","(41.4099654559, 2.17949401703)",False,Laboral,,2000.0,"[(41.40963, 2.1791299)]",Caiguda (dues rodes),No hi ha causa mediata
2011S004869,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,191204,Mallorca,0548 0548,Divendres,5,Laboral,2011,7,Juliol,15,19,Tarda,Desconegut,0,1,0,1,2,"4584468,38","431696,44",20110715,15/07/2011,"431696,44/4584468,38",41.4088614428,2.18277660348,"41.4088614428, 2.18277660348","(41.4088614428, 2.18277660348)",False,Laboral,,2000.0,"[(41.40864, 2.18229)]",Caiguda (dues rodes),No hi ha causa mediata
