NumeroDexpedient,CodiDistricte,NomDistricte,CodiBarri,NomBarri,CodiCarrer,NomCarrer,NumPostalCaption,DescripcioDiaSetmana,DiaSetmana,DescripcioTipusDia,NkAny,MesDeAny,NomMes,DiaDeMes,HoraDeDia,DescripcioTorn,DescripcioCausaVianant,NumeroDeMorts,NumeroDeLesionatsLleus,NumeroDeLesionatsGreus,NumeroDeVehiclesImplicats,CoordenadaUtmy,CoordenadaUtmx,DataNumeric,Data,CoordUTM,Lat,Lon,LatLonStr,LatLon,Pluja,DescripciTipusDia,MonumentProper,DistMonumentProper,creuaments,DescripciTipusAccident,DescripcioCausaMediata
2015S005807,-1,Desconegut,-1,Desconegut,-1,Desconegut,Desconegut,Dimarts,Dm,Laboral,2015,7,Juliol,28,12,Matí,No és causa del  vianant,0,2,0,2,-1,-1,20150728,28/07/2015,-1/-1,-1.0,-1.0,"-1.0, -1.0","(-1.0, -1.0)",False,Laboral,,2000.0,,Abast,No hi ha causa mediata
2015S007685,10,Sant Martí,64,el Camp de l'Arpa del Clot,134801,Freser,0208 0208,Dimarts,Dm,Laboral,2015,10,Octubre,13,19,Tarda,Desobeir el senyal del semàfor,0,1,0,1,"4585420,58","431779,16",20151013,13/10/2015,"431779,16/4585420,58",41.4174446233,2.18365884759,"41.4174446233, 2.18365884759","(41.4174446233, 2.18365884759)",True,Laboral,,2000.0,[],Atropellament,No hi ha causa mediata
2015S001364,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria,0336 0336,Dissabte,Ds,Laboral,2015,2,Febrer,21,21,Tarda,No és causa del  vianant,0,1,0,1,"4585555,86","431913,65",20150221,21/02/2015,"431913,65/4585555,86",41.4186744524,2.18525279183,"41.4186744524, 2.18525279183","(41.4186744524, 2.18525279183)",False,Festiu,,2000.0,[],Caiguda interior vehicle,No hi ha causa mediata
2015S004325,10,Sant Martí,64,el Camp de l'Arpa del Clot,226400,Las Navas de Tolosa,0343 0343,Divendres,Dv,Laboral,2015,6,Juny,5,9,Matí,No és causa del  vianant,0,1,0,2,"4585565,44","431946,45",20150605,05/06/2015,"431946,45/4585565,44",41.4187635149,2.18564417322,"41.4187635149, 2.18564417322","(41.4187635149, 2.18564417322)",False,Laboral,,2000.0,[],Col.lisi¾ lateral,No hi ha causa mediata
2015S005540,10,Sant Martí,64,el Camp de l'Arpa del Clot,95506,Conca,0032 0034,Divendres,Dv,Laboral,2015,7,Juliol,17,20,Tarda,No és causa del  vianant,0,2,0,1,"4585260,16","431530,84",20150717,17/07/2015,"431530,84/4585260,16",41.4159786542,2.18070586067,"41.4159786542, 2.18070586067","(41.4159786542, 2.18070586067)",False,Laboral,,2000.0,[],Atropellament,No hi ha causa mediata
2015S002024,10,Sant Martí,64,el Camp de l'Arpa del Clot,194406,Maragall,0001 0003,Dimarts,Dm,Laboral,2015,3,Març,17,12,Matí,Desobeir el senyal del semàfor,0,1,0,1,"4585174,30","431648,74",20150317,17/03/2015,"431648,74/4585174,30",41.4152153785,2.1821262019,"41.4152153785, 2.1821262019","(41.4152153785, 2.1821262019)",False,Laboral,,2000.0,"[(41.4155299, 2.18217)]",Atropellament,No hi ha causa mediata
2015S002980,10,Sant Martí,64,el Camp de l'Arpa del Clot,194406,Maragall,0029 0031,Dilluns,Dl,Laboral,2015,4,Abril,20,18,Tarda,No és causa del  vianant,0,1,0,1,"4585336,24","431615,03",20150420,20/04/2015,"431615,03/4585336,24",41.4166710501,2.18170456926,"41.4166710501, 2.18170456926","(41.4166710501, 2.18170456926)",False,Laboral,,2000.0,[],Atropellament,No hi ha causa mediata
2015S006560,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria,0288 0288,Dilluns,Dl,Laboral,2015,8,Agost,31,20,Tarda,No és causa del  vianant,0,2,0,2,"4585306,47","431650,48",20150831,31/08/2015,"431650,48/4585306,47",41.4164059377,2.18213208673,"41.4164059377, 2.18213208673","(41.4164059377, 2.18213208673)",False,Laboral,,2000.0,[],Col.lisi¾ fronto-lateral,No hi ha causa mediata
2015S005036,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria,0197 0197,Dimarts,Dm,Laboral,2015,6,Juny,30,13,Matí,No és causa del  vianant,0,3,0,2,"4584960,20","431281,06",20150630,30/06/2015,"431281,06/4584960,20",41.413255696,2.17775138909,"41.413255696, 2.17775138909","(41.413255696, 2.17775138909)",False,Laboral,,2000.0,[],Col.lisi¾ fronto-lateral,No hi ha causa mediata
2015S002656,10,Sant Martí,64,el Camp de l'Arpa del Clot,161407,Indústria,0223 0225,Divendres,Dv,Laboral,2015,4,Abril,10,9,Matí,No és causa del  vianant,0,1,0,2,"4585028,70","431347,82",20150410,10/04/2015,"431347,82/4585028,70",41.413878358,2.17854234646,"41.413878358, 2.17854234646","(41.413878358, 2.17854234646)",False,Laboral,,2000.0,[],Col.lisi¾ lateral,No hi ha causa mediata
